name,type,all_type,description,group,all_group,indoor_outdoor,all_in_out,longitude,latitude,geometry
Åkrogen Strand,Beach,Show all,Beach at Egå,Both children and adults,Show all,Outdoor,Show all,10.282961178719345,56.203752769342834,"c(10.2829611787193, 56.2037527693428)"
A. H. Wingesvej,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.20413687502922,56.175453373440845,"c(10.2041368750292, 56.1754533734408)"
Havrebakken,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.202700735954497,56.18295482941062,"c(10.2027007359545, 56.1829548294106)"
Hullet,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.178922575111892,56.20032636431384,"c(10.1789225751119, 56.2003263643138)"
Kasted,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.129599602648558,56.20792786476296,"c(10.1295996026486, 56.207927864763)"
Kimbrerdalen,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.171120724633118,56.227366228204474,"c(10.1711207246331, 56.2273662282045)"
Lillehammervej,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.193399938798262,56.17803803946387,"c(10.1933999387983, 56.1780380394639)"
Lisbjerg,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.165270869707859,56.22201106504174,"c(10.1652708697079, 56.2220110650417)"
Steen Billes Torv,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.21468125496036,56.17348683352561,"c(10.2146812549604, 56.1734868335256)"
Vorrevangsparken,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.201330961554053,56.1857807309507,"c(10.2013309615541, 56.1857807309507)"
Shelter i Lisbjerg gammel skov,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.169460000000083,56.23543097999977,"c(10.1694600000001, 56.2354309799998)"
Shelter på Vestereng,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.183249080000088,56.18680901999977,"c(10.1832490800001, 56.1868090199998)"
Shelter i Brendstrup Skov,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.161816120000081,56.18415599999977,"c(10.1618161200001, 56.1841559999998)"
Shelterplads i Lisbjerg ny skov,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.171774000000084,56.226817999999774,"c(10.1717740000001, 56.2268179999998)"
