anlaegsbet,kommunenav,mean_elev,sd
Båd-/skibsgrav,Esbjerg,8.808666852737627,6.932688847166017
Båd-/skibsgrav,Skanderborg,84.52299154514827,12.822883202003528
Båd-/skibsværft,Guldborgsund,5.686652733657256,0
Båd-/skibsværft,København,0.6855829000103203,0.9970764389775185
Båd-/skibsværft,Svendborg,0.9761818788963563,2.18280903961572
Bådhus,Skive,0.24521111814240584,0.21235905760171073
Bageovn,Aabenraa,27.13449063129009,15.33799191939226
Bageovn,Aalborg,17.0918930706418,16.90108916903452
Bageovn,Aarhus,4.147843426476722,2.9070158718722645
Bageovn,Esbjerg,8.977011260629363,7.653844889697586
Bageovn,Frederikssund,9.312529429430278,2.0519714714149435
Bageovn,Haderslev,25.26097234665294,6.475630264744814
Bageovn,Hjørring,23.680233231024193,0.7823648359525933
Bageovn,Horsens,13.201844128983574,0
Bageovn,København,5.595591788933352,0.5492021221738935
Bageovn,Morsø,13.36820806686045,14.309418907315525
Bageovn,Næstved,30.974373597387366,41.251584848247205
Bageovn,Randers,31.515109323025296,16.26621564365444
Bageovn,Roskilde,37.76843669192514,3.7055497937378923
Bageovn,Skive,16.4069472675118,3.9665265658488504
Bageovn,Sønderborg,25.488643604241794,15.356690993676189
Bageovn,Thisted,21.167710013155062,6.052964532526598
Bageovn,Tønder,10.04746575868707,11.724592213761033
Bageovn,Vejen,51.59255613017297,24.75078993970994
Batteri,Aabenraa,49.794376663586334,1.462781314540105
Batteri,Aalborg,3.788659738561586,2.656810926887704
Batteri,Dragør,2.9318757064673093,1.981440307324654
Batteri,Esbjerg,9.592603206772313,7.416918380262941
Batteri,Fanø,7.037851248110835,0.7964644400182108
Batteri,Frederikshavn,18.117028040830135,26.603116794832793
Batteri,Greve,2.847052810186142,3.1614814616328073
Batteri,Haderslev,45.14033918880279,20.762829713935677
Batteri,Hjørring,12.403100984155952,12.943333005709531
Batteri,Jammerbugt,27.555622384325446,15.69529645542022
Batteri,København,7.627973052063763,9.612820682425369
Batteri,Middelfart,17.15359620815076,15.321600826587796
Batteri,Norddjurs,15.93885658190565,12.886562124376237
Batteri,Ringkøbing-Skjern,2.065758682089199,2.921423944800516
Batteri,Tårnby,2.424707575993179,1.8822341698512628
Batteri,Thisted,19.685110310509156,15.63758381503072
Batteri,Tønder,24.234871725945744,16.088557760435613
Baunehøj,Aalborg,34.68009284434935,20.559978786632406
Baunehøj,Aarhus,83.57307223806342,33.412429385344865
Baunehøj,Assens,56.69306114065059,20.52926088886692
Baunehøj,Bornholm,74.39133396808847,31.220881107595318
Baunehøj,Brøndby,14.574342431587283,0.8888864687061198
Baunehøj,Egedal,25.045533402157112,6.345026044782038
Baunehøj,Esbjerg,25.21705000223649,12.4166627062746
Baunehøj,Favrskov,75.63643291126031,18.12996445402444
Baunehøj,Frederikssund,17.86856979767982,7.830306966848902
Baunehøj,Gribskov,32.49413747590809,12.291641127107638
Baunehøj,Guldborgsund,15.363588614758175,7.936341220661778
Baunehøj,Haderslev,33.703185209148025,10.217312989659312
Baunehøj,Hedensted,88.57106054108304,8.829852879776368
Baunehøj,Herning,57.0880308541032,14.595113939185577
Baunehøj,Høje-Taastrup,34.81795908402733,16.250634050413762
Baunehøj,Holstebro,38.41107045425203,21.039848713789656
Baunehøj,Horsens,98.96697850628988,32.01887541459008
Baunehøj,Ikast-Brande,99.50194095659646,16.78643565372522
Baunehøj,Jammerbugt,57.69150714294691,24.835017963194737
Baunehøj,Kalundborg,27.695971229615342,17.77421453993743
Baunehøj,Kolding,31.29587583504385,2.804940809228453
Baunehøj,Lejre,34.90030542614866,13.28153309712038
Baunehøj,Lemvig,37.23264812701224,16.61630172981481
Baunehøj,Lolland,5.83978276570968,2.3295980272897676
Baunehøj,Mariagerfjord,54.27184879385983,15.523242898830715
Baunehøj,Morsø,23.490144146003036,8.7963759721997
Baunehøj,Norddjurs,32.99963872400983,9.86943809719862
Baunehøj,Nordfyns,17.768421097876193,13.357977980112077
Baunehøj,Randers,38.71273136172549,10.203001741288002
Baunehøj,Rebild,53.774475234367024,14.130601292725638
Baunehøj,Ringkøbing-Skjern,29.146360514075994,27.445571836400834
Baunehøj,Silkeborg,90.90790020863531,6.374277248632639
Baunehøj,Skanderborg,78.99080312694318,16.537329486075915
Baunehøj,Skive,28.156431112309722,12.398933292678185
Baunehøj,Slagelse,30.83985973808794,9.275582417816528
Baunehøj,Stevns,20.908770044339207,8.108175529825457
Baunehøj,Struer,36.108377055922034,11.52190921622425
Baunehøj,Syddjurs,45.83015797162861,35.46182415840174
Baunehøj,Thisted,37.1977202749325,11.847025547708785
Baunehøj,Tønder,9.935172593278885,3.4090037889080804
Baunehøj,Varde,26.029107887022214,12.147552988255557
Baunehøj,Vejen,63.226896902489706,14.35458073570681
Baunehøj,Vejle,97.93553416225714,7.96546443200424
Baunehøj,Vesthimmerlands,43.25790934639841,12.325402722641503
Baunehøj,Viborg,50.69544136983509,9.555311672307642
Baunehøj,Vordingborg,21.091192666837586,13.765760127019064
Bautasten,Aabenraa,47.22096391146465,14.131372236644124
Bautasten,Aalborg,36.23869871221964,0
Bautasten,Aarhus,64.9711840657216,10.377253182106985
Bautasten,Assens,45.36105954823372,38.07426795135968
Bautasten,Bornholm,55.181905971359754,30.037140914674918
Bautasten,Egedal,34.16975874155435,0
Bautasten,Favrskov,54.28255394443515,40.34151970460197
Bautasten,Frederikshavn,53.98508655491603,3.677317708456137
Bautasten,Frederikssund,29.36016063993729,13.431244774966443
Bautasten,Guldborgsund,6.579962696262576,5.449694664448111
Bautasten,Holstebro,31.595378361983407,25.685675754324084
Bautasten,Jammerbugt,44.629556716467576,22.317651172528954
Bautasten,Kalundborg,30.94959726531686,19.965305815420045
Bautasten,Kerteminde,8.302107051760451,9.171526237728207
Bautasten,Langeland,5.998282917886035,5.7089364952017245
Bautasten,Lolland,5.163817020672014,3.5195010071535426
Bautasten,Næstved,50.83785492873266,7.579298382888202
Bautasten,Norddjurs,25.454238521809835,18.60806655253992
Bautasten,Odsherred,14.00462152939474,6.447460184203507
Bautasten,Ringkøbing-Skjern,62.055937083344205,0
Bautasten,Slagelse,30.82107810900808,41.13471098057243
Bautasten,Stevns,13.121669266156669,12.054440401531311
Bautasten,Syddjurs,45.45416441409727,18.955990673970206
Bautasten,Thisted,9.177356683326071,8.464246476787931
Bautasten,Vesthimmerlands,25.105388777173893,3.671056481004693
Bautasten,Viborg,39.04993286524532,29.0435280542509
Bautasten,Vordingborg,43.02751262346745,36.1638996546993
Bedding,København,0.8226994800123845,1.0496164097512688
Befæstning,Aabenraa,44.359899950407055,42.14955014627446
Befæstning,Aalborg,3.2615916162992713,1.9950864060571298
Befæstning,Aarhus,3.0546060094162417,1.022945170790823
Befæstning,Assens,7.739958457883755,8.294985199367403
Befæstning,Bornholm,21.329922088259195,15.288160279562574
Befæstning,Dragør,0.7812998952435148,0.6271944841247326
Befæstning,Esbjerg,9.748008369487609,9.691137950291017
Befæstning,Faaborg-Midtfyn,2.747259602059952,0
Befæstning,Gentofte,15.13777972735104,10.610570573847873
Befæstning,Greve,20.538096652745114,17.217468669923377
Befæstning,Haderslev,36.75327723414227,21.029685565227506
Befæstning,Horsens,6.3932721163459005,5.424387826576979
Befæstning,Ikast-Brande,61.61331954138396,5.367206243196671
Befæstning,Jammerbugt,11.797830137651763,15.680667032391963
Befæstning,Kalundborg,4.222245618137289,1.3146404200774922
Befæstning,København,5.188290075913037,3.623188299559509
Befæstning,Køge,3.123274738434719,1.2665242939202206
Befæstning,Kolding,18.95629611500737,20.33141101525401
Befæstning,Lemvig,7.04727587287049,13.28247595335906
